Case_ID,Dice_Score,Load_Time,MPI_Part_Time,GPU_Filter_Time,Gather_Time,ONNX_Infer_Time,Region_Grow_Time,Write_Time,Eval_Time,Total_Time
45,0.9436,0.129,0.000,0.000,0.000,4.313,0.134,0.314,0.185,5.191
47,0.9407,0.313,0.000,0.000,0.000,8.611,0.334,0.784,0.467,10.807
49,0.9381,0.212,0.000,0.000,0.000,6.548,0.243,0.557,0.326,8.090
50,0.9336,0.244,0.000,0.000,0.000,6.536,0.244,0.584,0.358,8.181
52,0.9328,0.155,0.000,0.000,0.000,5.071,0.169,0.385,0.231,6.157
53,0.9170,0.231,0.000,0.000,0.000,6.529,0.234,0.576,0.323,8.105
54,0.9428,0.143,0.000,0.000,0.000,5.038,0.172,0.353,0.268,6.114
55,0.9567,0.120,0.000,0.000,0.000,4.318,0.123,0.278,0.164,5.112
60,0.9320,0.184,0.000,0.000,0.000,5.094,0.176,0.405,0.249,6.273
61,0.9333,0.190,0.000,0.000,0.000,5.785,0.182,0.425,0.256,7.004
62,0.9371,0.168,0.000,0.000,0.000,5.063,0.181,0.409,0.262,6.243
63,0.6623,0.436,0.000,0.000,0.000,10.717,0.394,0.905,0.511,13.304
64,0.9485,0.139,0.000,0.000,0.000,4.403,0.136,0.306,0.182,5.280
66,0.9101,0.249,0.000,0.000,0.000,7.273,0.266,0.603,0.356,8.983
67,0.8794,0.181,0.000,0.000,0.000,5.055,0.176,0.423,0.244,6.236
68,0.9529,0.139,0.000,0.000,0.000,5.146,0.161,0.343,0.231,6.156
69,0.8885,0.213,0.000,0.000,0.000,6.514,0.231,0.542,0.334,8.039
71,0.9355,0.119,0.000,0.000,0.000,4.333,0.137,0.317,0.188,5.216
72,0.8358,0.698,0.000,0.000,0.000,18.143,0.658,1.488,0.795,22.349
73,0.9030,0.233,0.000,0.000,0.000,7.236,0.281,0.599,0.368,8.955
74,0.9443,0.183,0.000,0.000,0.000,5.952,0.200,0.428,0.263,7.184
75,0.8995,0.203,0.000,0.000,0.000,6.602,0.208,0.501,0.279,7.986
76,0.9634,0.119,0.000,0.000,0.000,4.300,0.128,0.322,0.172,5.161
77,0.9250,0.178,0.000,0.000,0.000,5.895,0.199,0.455,0.262,7.165
78,0.9345,0.126,0.000,0.000,0.000,4.347,0.126,0.290,0.185,5.185
79,0.9422,0.257,0.000,0.000,0.000,7.338,0.253,0.615,0.307,8.998
80,0.8647,0.142,0.000,0.000,0.000,5.143,0.169,0.382,0.271,6.256
81,0.8818,0.609,0.000,0.000,0.000,16.304,0.595,1.361,0.774,20.161
82,0.9379,0.122,0.000,0.000,0.000,4.415,0.156,0.322,0.188,5.329
83,0.8734,0.228,0.000,0.000,0.000,7.217,0.268,0.612,0.331,8.885
84,0.9530,0.166,0.000,0.000,0.000,5.835,0.194,0.438,0.264,7.065
85,0.8706,0.229,0.000,0.000,0.000,7.233,0.259,0.583,0.375,8.905
87,0.9188,0.161,0.000,0.000,0.000,5.745,0.207,0.454,0.277,7.021
88,0.9198,0.201,0.000,0.000,0.000,5.845,0.206,0.483,0.296,7.226
89,0.9243,0.186,0.000,0.000,0.000,6.505,0.229,0.499,0.312,7.923
90,0.9055,0.180,0.000,0.000,0.000,5.755,0.193,0.438,0.259,6.999
91,0.9113,0.068,0.000,0.000,0.000,2.883,0.068,0.144,0.058,3.282
92,0.9419,0.204,0.000,0.000,0.000,5.792,0.185,0.436,0.258,7.049
93,0.8773,0.255,0.000,0.000,0.000,7.203,0.274,0.635,0.361,8.971
94,0.9395,0.112,0.000,0.000,0.000,4.306,0.133,0.305,0.187,5.164
95,0.8937,0.139,0.000,0.000,0.000,5.087,0.186,0.385,0.133,6.074
96,0.9299,0.137,0.000,0.000,0.000,5.025,0.176,0.399,0.256,6.150
97,0.9060,0.248,0.000,0.000,0.000,7.896,0.336,0.675,0.436,9.849
98,0.9478,0.146,0.000,0.000,0.000,5.077,0.170,0.371,0.231,6.142
99,0.9159,0.128,0.000,0.000,0.000,4.338,0.133,0.291,0.197,5.203
